,lat,long,satellite,time_utc,date,source,provinsi,kab_kota,kec2006,desaa2006,nama_kaw
281,1.40059,99.92399999999999,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,GONTING JULU,
282,-4.68748,105.20100000000001,LPN-NPP,06:36:52 AM,2016-06-25,LAPAN,LAMPUNG,TULANG BAWANG BARAT,TUMI JAJAR,GUNUNG MENANTI,
284,-2.33236,101.039,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA BARAT,PESISIR SELATAN,LUNANG SILAUT,SILAUT,
285,-2.00849,102.791,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,JAMBI,SAROLANGUN,PAUH,DUSUN BARU,
287,-1.8637,102.54799999999999,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,JAMBI,TEBO,TEBO ILIR,TANAH GARO,
288,-3.41855,103.03399999999999,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA SELATAN,MUSIRAWAS,MUARA BELITI,RANTAU SERIK,
289,-3.2659,104.162,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,TANAH ABANG,PANDAN,
290,1.9570299999999998,101.633,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,RIAU,BENGKALIS,KECAMATAN RUPAT,HUTAN PANJANG,KAWASAN HUTAN BAKAU
291,5.49911,95.5477,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,ACEH,ACEH BESAR,MESJID RAYA,PAYA KAMENG,
292,5.500030000000001,95.5532,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,ACEH,ACEH BESAR,MESJID RAYA,BEURANDEH,
293,2.66568,99.3869,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA UTARA,ASAHAN,BANDAR PULAU,LOBU RAPPA,
294,1.30572,99.8671,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN,SIHIUK,
295,1.31372,99.8657,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,TOBING TINGGI AN,
296,1.22885,100.066,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA UTARA,PADANG LAWAS,SOSA,UJUNG BATU IV,
297,1.36043,99.9028,LPN-NPP,06:17:56 AM,2016-06-26,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,PANGIRKIRAN DOLOK,
298,0.584928,101.302,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,RIAU,KAMPAR,KECAMATAN TAPUNG,PANTAI CERMIN,
299,0.42734300000000003,99.3735,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA BARAT,PASAMAN BARAT,RANAH BATAHAN,TAMIANG BATAHAN,
300,1.30831,99.9332,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,PARAN TONGA AN,
301,1.32406,99.9457,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,AEK NABARA TONGA,
302,-0.870657,101.62799999999999,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA BARAT,DHARMASRAYA,KUANTAN MUDIK,PANGKALAN,
303,1.1429200000000002,99.8118,LPN-NPP,06:43:15 AM,2016-06-30,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN,SIBUHUAN JAE,
