Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
-9.42943,119.917,LPN-NPP,05:12:53 AM,20160827,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,UMBU RATU NGGAY,TANA MBANAS,
1.30447,100.757,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
1.29958,100.733,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
1.44303,100.832,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN TANAH PUTIH,SEKELADI,
1.28583,100.731,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
1.44187,100.84,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN TANAH PUTIH,SEKELADI,
1.425,100.783,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,SEKELADI,
1.34247,100.732,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
1.30677,100.742,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
1.31537,100.797,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,SIARANG ARANG,
1.37481,100.852,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN TANAH PUTIH,PUTAT,
1.31422,100.805,LPN-NPP,18:17:06 PM,20160826,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,SIARANG ARANG,
0.868568,110.829,LPN-NPP,06:23:36 AM,20160818,LAPAN,KALIMANTAN BARAT,SINTANG,KETUNGAU HULU,SUNGAI SERIA,
1.06077,102.322,LPN-NPP,06:23:36 AM,20160818,LAPAN,RIAU,KEPULAUAN MERANTI,KECAMATAN MERBAU,LUKIT,
0.969651,109.092,LPN-NPP,06:23:36 AM,20160818,LAPAN,KALIMANTAN BARAT,KOTA SINGKAWANG,TUJUH BELAS,MAYASOPA,
1.15922,99.8526,LPN-NPP,06:23:36 AM,20160818,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN,TANGGA BOSI,
1.9184,100.39,LPN-NPP,06:23:36 AM,20160818,LAPAN,RIAU,ROKAN HILIR,KECAMATAN SIMPANG KANAN,TANJUNG LEBAN,
1.05324,102.307,LPN-NPP,17:45:25 PM,20160817,LAPAN,RIAU,KEPULAUAN MERANTI,KECAMATAN MERBAU,LUKIT,
-9.92471,120.128,LPN-NPP,05:01:31 AM,20160817,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,MATAWAI LA PAWU,MAHU BOKUL,
-9.65955,119.973,LPN-NPP,05:01:31 AM,20160817,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,NGGAHA ORIANGU,TANDULA JANGGA,
1.0498,102.313,LPN-NPP,18:04:21 PM,20160816,LAPAN,RIAU,KEPULAUAN MERANTI,KECAMATAN MERBAU,LUKIT,
-9.60946,119.962,LPN-NPP,05:20:27 AM,20160816,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,HAHARU,MBATA PUHU,
-9.97898,120.242,LPN-NPP,05:20:27 AM,20160816,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,MATAWAI LA PAWU,PRAI BOKUL,
1.27132,109.973,LPN-NPP,05:20:27 AM,20160816,LAPAN,KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,TERABUNG,
0.558294,110.347,LPN-NPP,05:20:27 AM,20160816,LAPAN,KALIMANTAN BARAT,SANGGAU,KEMBAYAN,SEMAYANG,
0.938005,113.196,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,KAPUAS HULU,KEDAMIN,CEMPAKA BARU,
0.914679,110.142,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,LANDAK,AIR BESAR,MERAYUH,CA NIYUT PENRISSEN
0.218707,110.727,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,SANGGAU,SANGGAU KAPUAS,KAMBONG,
-0.0266983,112.933,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,SINTANG,AMBALAU,NANGA KESANGE,
0.33197,110.765,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,SANGGAU,JANGKANG,TERATI,
0.708006,113.151,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,KAPUAS HULU,KALIS,NANGA SEBINTANG,
0.792844,109.683,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,LANDAK,MERANTI,TAHU,
0.960663,111.41,LPN-NPP,05:39:22 AM,20160815,LAPAN,KALIMANTAN BARAT,SINTANG,KETUNGAU TENGAH,GUT JAYA BAKTI,
-0.811931,109.505,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,KUBU RAYA,BATU AMPAR,NIPAH PANJANG,
0.809132,109.761,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,LANDAK,MERANTI,SELANGE,
0.968886,111.232,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,SINTANG,KETUNGAU HULU,NANGA BAYAN,
0.272512,110.581,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,SANGGAU,BONTI,UPE,
-0.672786,111.63,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,MELAWI,SAYAN,KERANGAN PURUN,
1.13043,109.595,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,BENGKAYANG,SANGGAU LEDO,GUA,
-0.499635,111.575,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,MELAWI,BELIMBING,NANGA KEBERAK,
-0.715827,110.813,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,KETAPANG,SANDAI,RANDAU,
1.40917,109.154,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,SAMBAS,TELUK KERAMAT,SUNGAI KUMPAI,
-0.559471,110.56,LPN-NPP,05:44:20 AM,20160820,LAPAN,KALIMANTAN BARAT,KETAPANG,SIMPANG HULU,SEMANDANG HULU,
-6.58848,134.163,LPN-NPP,04:07:37 AM,20160820,LAPAN,MALUKU,KEPULAUAN-ARU,PULAU-PULAU ARU SELATAN,NGAIGULI,
0.929068,110.129,LPN-NPP,06:04:42 AM,20160819,LAPAN,KALIMANTAN BARAT,LANDAK,AIR BESAR,MERAYUH,CA NIYUT PENRISSEN
